area,building_address,rent,size_of_suite(sq_ft),suite_name,suite_number
AJAX,1 ROSSLAND ROAD WEST,16.00,697,,205
AJAX,1 ROSSLAND ROAD WEST,16.00,"1,237",,210
BRAMPTON,111 QUEEN STREET EAST,10.00,"6,644",PARK PLACE CONDOMINIUMS,
BRAMPTON,118 QUEEN STREET WEST,12.00,595,,106
BRAMPTON,118 QUEEN STREET WEST,12.00,618,,202
BRAMPTON,118 QUEEN STREET WEST,12.00,"1,790",,302
BRAMPTON,118 QUEEN STREET WEST,12.00,"1,135",,102
BRAMPTON,118 QUEEN STREET WEST,12.00,"1,834",,203
BRAMPTON,45 WEST DRIVE,,"47,622",,
BURLINGTON,760 BRANT STREET,,"2,427",BURLINGTON SQUARE,5
BURLINGTON,760 BRANT STREET,,"3,368",BURLINGTON SQUARE,12
BURLINGTON,760 BRANT STREET,,"2,582",BURLINGTON SQUARE,1
BURLINGTON,760 BRANT STREET,,932,BURLINGTON SQUARE,42
BURLINGTON,760 BRANT STREET,,"1,568",BURLINGTON SQUARE,50
BURLINGTON,760 BRANT STREET,,"1,061",BURLINGTON SQUARE,45C
BURLINGTON,760 BRANT STREET,,"1,743",BURLINGTON SQUARE,403A
BURLINGTON,760 BRANT STREET,,"2,584",BURLINGTON SQUARE,405
BURLINGTON,760 BRANT STREET,,"4,044",BURLINGTON SQUARE,405B
BURLINGTON,760 BRANT STREET,,"2,845",BURLINGTON SQUARE,408A
BURLINGTON,760 BRANT STREET,,"3,439",BURLINGTON SQUARE,408B
BURLINGTON,760 BRANT STREET,,751,BURLINGTON SQUARE,416A
BURLINGTON,760 BRANT STREET,,"1,158",BURLINGTON SQUARE,48A
BURLINGTON,760 BRANT STREET,,"1,196",BURLINGTON SQUARE,420A
BURLINGTON,1022 CHAMPLAIN AVENUE,13.00,"16,000",,
BURLINGTON,3195 HARVESTER ROAD,21.00,"8,524",,1A
BURLINGTON,3195 HARVESTER ROAD,21.00,"8,714",,2A
BURLINGTON,3195 HARVESTER ROAD,21.00,"6,251",,B1
BURLINGTON,3195 HARVESTER ROAD,21.00,"6,251",,B2
BURLINGTON,3195 HARVESTER ROAD,21.00,"6,251",,B3
BURLINGTON,3195 HARVESTER ROAD,21.00,"5,993",,B4
BURLINGTON,3195 HARVESTER ROAD,21.00,"6,251",,B5
BURLINGTON,3195 HARVESTER ROAD,21.00,"6,251",,B6
BURLINGTON,3195 HARVESTER ROAD,21.00,"6,251",,B7
BURLINGTON,3195 HARVESTER ROAD,21.00,"6,251",,B8
BURLINGTON,3195 HARVESTER ROAD,21.00,"9,046",,C2
BURLINGTON,3195 HARVESTER ROAD,21.00,"8,856",,C1
BURLINGTON,3450 HARVESTER ROAD,14.00,"14,419",ABB AUTOMATION,2
ETOBICOKE,10 FOUR SEASONS PLACE,16.50,"5,321",BURNHAMTHORPE SQUARE,700
ETOBICOKE,10 FOUR SEASONS PLACE,16.50,"2,076",BURNHAMTHORPE SQUARE,604
ETOBICOKE,10 FOUR SEASONS PLACE,16.50,"1,400",BURNHAMTHORPE SQUARE,610
ETOBICOKE,10 FOUR SEASONS PLACE,16.50,"3,844",BURNHAMTHORPE SQUARE,500
ETOBICOKE,10 FOUR SEASONS PLACE,16.50,"2,547",BURNHAMTHORPE SQUARE,803
ETOBICOKE,10 FOUR SEASONS PLACE,16.50,"16,011",BURNHAMTHORPE SQUARE,300
ETOBICOKE,16 FOUR SEASONS PLACE,9.50,"1,179",BURNHAMTHORPE SQUARE,215
ETOBICOKE,16 FOUR SEASONS PLACE,9.50,"1,498",BURNHAMTHORPE SQUARE,115
ETOBICOKE,16 FOUR SEASONS PLACE,9.50,"1,793",BURNHAMTHORPE SQUARE,108
ETOBICOKE,17 FOUR SEASONS PLACE,9.50,"1,759",,201
ETOBICOKE,17 FOUR SEASONS PLACE,9.50,"1,792",,200
ETOBICOKE,21 FOUR SEASONS PLACE,14.50,"3,710",BURNHAMTHORPE SQUARE,100
ETOBICOKE,21 FOUR SEASONS PLACE,14.50,"2,392",BURNHAMTHORPE SQUARE,115
ETOBICOKE,21 FOUR SEASONS PLACE,14.50,"1,582",BURNHAMTHORPE SQUARE,120
ETOBICOKE,21 FOUR SEASONS PLACE,14.50,"1,635",BURNHAMTHORPE SQUARE,101
ETOBICOKE,2 INTERNATIONAL BOULEVARD,19.50,"7,000",,100
ETOBICOKE,75 INTERNATIONAL BOULEVARD,22.00,"3,805",EAST TOWER,200
ETOBICOKE,75 INTERNATIONAL BOULEVARD,22.00,"3,089",EAST TOWER,300
ETOBICOKE,75 INTERNATIONAL BOULEVARD,15.00,"9,239",WEST TOWER,200
ETOBICOKE,75 INTERNATIONAL BOULEVARD,22.00,"1,772",EAST TOWER,303
ETOBICOKE,75 INTERNATIONAL BOULEVARD,17.50,"7,966",WEST TOWER,201
ETOBICOKE,10 KELFIELD STREET,10.50,"7,144",SKYWAY CORPORATE CENTRE,100
ETOBICOKE,10 KELFIELD STREET,10.50,"12,350",SKYWAY CORPORATE CENTRE,200
ETOBICOKE,10 KELFIELD STREET,10.50,"12,350",SKYWAY CORPORATE CENTRE,300
ETOBICOKE,10 KELFIELD STREET,10.50,"12,350",SKYWAY CORPORATE CENTRE,400
ETOBICOKE,10 KELFIELD STREET,10.50,"12,350",SKYWAY CORPORATE CENTRE,500
ETOBICOKE,10 KELFIELD STREET,10.50,"12,350",SKYWAY CORPORATE CENTRE,600
ETOBICOKE,10 KELFIELD STREET,10.50,"12,350",SKYWAY CORPORATE CENTRE,700
ETOBICOKE,181 THE WEST MALL,24.00,"6,182",,
ETOBICOKE,181 THE WEST MALL,24.00,"25,307",,
ETOBICOKE,181 THE WEST MALL,24.00,"25,204",,
ETOBICOKE,181 THE WEST MALL,24.00,"25,106",,
ETOBICOKE,181 THE WEST MALL,24.00,"25,018",,
ETOBICOKE,181 THE WEST MALL,24.00,"24,908",,
ETOBICOKE,181 THE WEST MALL,24.00,"24,968",,
ETOBICOKE,181 THE WEST MALL,24.00,"25,010",,
ETOBICOKE,181 THE WEST MALL,24.00,"25,064",,
ETOBICOKE,185 THE WEST MALL,,"3,969",WESTMETRO CORPORATE CENTRE - 3,705
MAPLE,2535 MAJOR MACKENZIE DRIVE,14.00,408,,216
MARKHAM,2800 14TH AVENUE,10.00,"1,055",VALECON BUSINESS CENTRE,303
MARKHAM,2800 14TH AVENUE,10.00,"1,392",VALECON BUSINESS CENTRE,306
MARKHAM,3760 14TH AVENUE,,"4,971",WARDEN CITY CENTRE - TOWER 1,101B
MARKHAM,80 ALLSTATE PARKWAY,15.95,"5,000",,100
MARKHAM,80 ALLSTATE PARKWAY,15.95,"19,365",,200
MARKHAM,445 APPLE CREEK BOULEVARD,11.00,741,,213
MARKHAM,10 AVIVA WAY,21.00,"30,265",AVIVA CENTRE,400
MARKHAM,7550 BIRCHMOUNT ROAD,7.95,"51,996",,
MARKHAM,60 CENTURIAN DRIVE,12.50,"1,800",,215
MARKHAM,60 CENTURIAN DRIVE,12.50,"1,711",,217
MARKHAM,60 CENTURIAN DRIVE,12.50,"1,152",,110
MARKHAM,60 CENTURIAN DRIVE,12.50,"1,659",,212
MARKHAM,60 CENTURIAN DRIVE,26.00,"1,122",,104
MARKHAM,85 CITIZEN COURT,11.95,"2,626",,17
MARKHAM,525 COCHRANE DRIVE,9.95,"3,315",,203
MARKHAM,525 COCHRANE DRIVE,9.95,"3,651",,200
MARKHAM,525 COCHRANE DRIVE,9.95,"3,981",,202
MARKHAM,525 COCHRANE DRIVE,9.50,"7,296",,204
MARKHAM,525 COCHRANE DRIVE,11.95,"1,900",,205
MARKHAM,525 COCHRANE DRIVE,11.95,"1,415",,206
MARKHAM,123 COMMERCE VALLEY DRIVE EAST,20.00,"27,041",ADC BUILDING - EAST TOWER,800
MARKHAM,55 COMMERCE VALLEY DRIVE WEST,18.00,"8,000",SOUTHCREEK CORPORATE CENTRE - PHASE II,801
MARKHAM,110 COPPER CREEK DRIVE,,"9,339",,400
MARKHAM,85 ENTERPRISE BOULEVARD,19.95,"11,591",HONEYWELL,300
MARKHAM,85 ENTERPRISE BOULEVARD,19.95,"4,703",HONEYWELL,100
MARKHAM,141 MAIN STREET NORTH,3,"7,470",,
MARKHAM,191 MCNABB STREET,7.75,"96,870",,
MARKHAM,191 MCNABB STREET,7.75,"33,932",,
MARKHAM,25 ROYAL CREST COURT,10.00,995,VALECON,204
MARKHAM,1 STEELCASE ROAD WEST,,"18,546",LIBERTY ONE,
MARKHAM,1 STEELCASE ROAD WEST,,"20,290",LIBERTY ONE,
MARKHAM,1 STEELCASE ROAD WEST,,"27,109",LIBERTY ONE,
MARKHAM,1 STEELCASE ROAD WEST,,"27,109",LIBERTY ONE,
MARKHAM,1 STEELCASE ROAD WEST,,"26,431",LIBERTY ONE,
MARKHAM,1 STEELCASE ROAD WEST,,"16,471",LIBERTY ONE,
MARKHAM,1 STEELCASE ROAD WEST,,"16,471",LIBERTY ONE,
MARKHAM,1 STEELCASE ROAD WEST,,"16,471",LIBERTY ONE,
MARKHAM,1 STEELCASE ROAD WEST,,"16,471",LIBERTY ONE,
MARKHAM,1 STEELCASE ROAD WEST,,"16,471",LIBERTY ONE,
MARKHAM,3000 STEELES AVENUE EAST,18.50,"1,263",GATEWAY CENTRE - 1,100
MARKHAM,3100 STEELES AVENUE EAST,17.50,"2,679",GATEWAY CENTRE - 2,605
MARKHAM,3100 STEELES AVENUE EAST,17.50,"2,085",GATEWAY CENTRE - 2,208
MARKHAM,3100 STEELES AVENUE EAST,17.50,"3,209",GATEWAY CENTRE - 2,301
MARKHAM,3100 STEELES AVENUE EAST,18.50,"3,212",GATEWAY CENTRE - 2,101
MARKHAM,3100 STEELES AVENUE EAST,17.50,"8,771",GATEWAY CENTRE - 2,1000
MARKHAM,3190 STEELES AVENUE EAST,18.50,"7,318",,200
MARKHAM,10761 VICTORIA SQUARE BOULEVARD,371.88,425,VICTORIA SQUARE,103
MARKHAM,10761 VICTORIA SQUARE BOULEVARD,721.88,825,VICTORIA SQUARE,104
MARKHAM,10761 VICTORIA SQUARE BOULEVARD,2,"3,867",VICTORIA SQUARE,203
MARKHAM,7271 WARDEN AVENUE,28.00,"28,321",,
MARKHAM,8133 WARDEN AVENUE,17.95,"12,365",MOTOROLA CANADA,301
MARKHAM,8133 WARDEN AVENUE,17.95,"11,421",MOTOROLA CANADA,
MISSISSAUGA,2476 ARGENTIA ROAD,22.50,"1,642",FIRST MEADOWVALE CENTRE III,102
MISSISSAUGA,50 BURNHAMTHORPE ROAD WEST,,"3,681",SUSSEX CENTRE - 1,702
MISSISSAUGA,33-43 DUNDAS STREET EAST,10.00,747,,205
MISSISSAUGA,33-43 DUNDAS STREET EAST,10.00,"1,039",,206
MISSISSAUGA,33-43 DUNDAS STREET EAST,10.00,"1,562",,202
MISSISSAUGA,33-43 DUNDAS STREET EAST,10.00,601,,207
MISSISSAUGA,33-43 DUNDAS STREET EAST,20.00,721,,105
MISSISSAUGA,1016 EGLINTON AVENUE EAST,25.00,"2,200",,100
MISSISSAUGA,1016 EGLINTON AVENUE EAST,25.00,"2,200",,200
MISSISSAUGA,5580 EXPLORER DRIVE,,"12,203",AEROCENTRE - PHASE II,500
MISSISSAUGA,5750 EXPLORER DRIVE,,"3,645",,102
MISSISSAUGA,5750 EXPLORER DRIVE,,"9,033",,103
MISSISSAUGA,5750 EXPLORER DRIVE,,"2,983",,101
MISSISSAUGA,6696 FINANCIAL DRIVE,,"50,908",NORTH BUSINESS PARK,1
MISSISSAUGA,1599 HURONTARIO STREET,15.00,"3,305",PORT CREDIT CORPORATE CENTRE,303
MISSISSAUGA,1599 HURONTARIO STREET,15.00,"4,422",PORT CREDIT CORPORATE CENTRE,200
MISSISSAUGA,1599 HURONTARIO STREET,15.00,"9,352",PORT CREDIT CORPORATE CENTRE,105
MISSISSAUGA,3025 HURONTARIO STREET,14.00,891,HURONTARIO PROFESSSIONAL BLDG,202
MISSISSAUGA,3025 HURONTARIO STREET,14.00,890,HURONTARIO PROFESSSIONAL BLDG,204
MISSISSAUGA,3025 HURONTARIO STREET,14.00,"1,784",HURONTARIO PROFESSSIONAL BLDG,205
MISSISSAUGA,3025 HURONTARIO STREET,14.00,995,HURONTARIO PROFESSSIONAL BLDG,305
MISSISSAUGA,3025 HURONTARIO STREET,14.00,914,HURONTARIO PROFESSSIONAL BLDG,306
MISSISSAUGA,3025 HURONTARIO STREET,14.00,617,HURONTARIO PROFESSSIONAL BLDG,307
MISSISSAUGA,3025 HURONTARIO STREET,14.00,"1,690",HURONTARIO PROFESSSIONAL BLDG,405
MISSISSAUGA,3025 HURONTARIO STREET,14.00,"1,031",HURONTARIO PROFESSSIONAL BLDG,502
MISSISSAUGA,3025 HURONTARIO STREET,14.00,967,HURONTARIO PROFESSSIONAL BLDG,504
MISSISSAUGA,3025 HURONTARIO STREET,14.00,913,HURONTARIO PROFESSSIONAL BLDG,507
MISSISSAUGA,3025 HURONTARIO STREET,14.00,888,HURONTARIO PROFESSSIONAL BLDG,510
MISSISSAUGA,3025 HURONTARIO STREET,14.00,976,HURONTARIO PROFESSSIONAL BLDG,200
MISSISSAUGA,3025 HURONTARIO STREET,14.00,"5,082",HURONTARIO PROFESSSIONAL BLDG,400
MISSISSAUGA,5900 HURONTARIO STREET,,"35,000",CITIGROUP BUILDING,
MISSISSAUGA,2425 MATHESON BOULEVARD EAST,19.50,"8,716",,601
MISSISSAUGA,2425 MATHESON BOULEVARD EAST,19.50,"4,090",,120
MISSISSAUGA,3035 ORLANDO DRIVE,,"16,754",,
MISSISSAUGA,2680 SKYMARK AVENUE,16.50,"2,613",COLLEGE SQUARE - PHASE 2,601
MISSISSAUGA,2680 SKYMARK AVENUE,16.50,"20,161",COLLEGE SQUARE - PHASE 2,300
MISSISSAUGA,2680 SKYMARK AVENUE,16.50,"4,245",COLLEGE SQUARE - PHASE 2,801
MISSISSAUGA,2680 SKYMARK AVENUE,16.50,"10,695",COLLEGE SQUARE - PHASE 2,410
MISSISSAUGA,2680 SKYMARK AVENUE,16.50,"3,005",COLLEGE SQUARE - PHASE 2,415
MISSISSAUGA,2680 SKYMARK AVENUE,16.50,"3,700",COLLEGE SQUARE - PHASE 2,500
MISSISSAUGA,160 TRADERS BOULEVARD EAST,14.00,"4,547",TRADERS EXCHANGE,204
MISSISSAUGA,160 TRADERS BOULEVARD EAST,14.00,"2,153",TRADERS EXCHANGE,212
MISSISSAUGA,160 TRADERS BOULEVARD EAST,14.00,"1,252",TRADERS EXCHANGE,101
MISSISSAUGA,160 TRADERS BOULEVARD EAST,14.00,"1,816",TRADERS EXCHANGE,211
MISSISSAUGA,160 TRADERS BOULEVARD EAST,14.00,"1,797",TRADERS EXCHANGE,210
MISSISSAUGA,160 TRADERS BOULEVARD EAST,14.00,"3,865",TRADERS EXCHANGE,225
MISSISSAUGA,160 TRADERS BOULEVARD EAST,14.00,"1,917",TRADERS EXCHANGE,114
NORTH YORK,895 DON MILLS ROAD,,"16,131",MORNEAU SHEPELL CENTRE - TOWER II,300
NORTH YORK,150 FERRAND DRIVE,,"4,479",DON VALLEY CORPORATE CENTRE,
NORTH YORK,1120 FINCH AVENUE WEST,12.00,"3,332",HUMBOLD BUSINESS CENTRE,102
NORTH YORK,1120 FINCH AVENUE WEST,10.00,"15,000",HUMBOLD BUSINESS CENTRE,400
NORTH YORK,1120 FINCH AVENUE WEST,10.00,"9,000",HUMBOLD BUSINESS CENTRE,800
NORTH YORK,1120 FINCH AVENUE WEST,10.00,"1,829",HUMBOLD BUSINESS CENTRE,305
NORTH YORK,1120 FINCH AVENUE WEST,10.00,"6,937",HUMBOLD BUSINESS CENTRE,700
NORTH YORK,1120 FINCH AVENUE WEST,10.00,"3,210",HUMBOLD BUSINESS CENTRE,200
NORTH YORK,1120 FINCH AVENUE WEST,10.00,"2,402",HUMBOLD BUSINESS CENTRE,302
NORTH YORK,1120 FINCH AVENUE WEST,10.00,"5,055",HUMBOLD BUSINESS CENTRE,701
NORTH YORK,15 GERVAIS DRIVE,11.00,"3,689",,306
NORTH YORK,15 GERVAIS DRIVE,11.00,696,,405
NORTH YORK,15 GERVAIS DRIVE,11.00,"1,200",,505
NORTH YORK,15 GERVAIS DRIVE,11.00,"3,795",,805
NORTH YORK,15 GERVAIS DRIVE,11.00,"5,000",,
NORTH YORK,15 GERVAIS DRIVE,11.00,847,,406
NORTH YORK,15 GERVAIS DRIVE,11.00,"1,512",,603
NORTH YORK,155 LESMILL ROAD,,"22,980",,
NORTH YORK,25 MOBILE DRIVE,25.00,"9,038",,
NORTH YORK,101 PLACER COURT,5,"19,200",,
NORTH YORK,151 PLACER COURT,8,"25,186",,
NORTH YORK,50 PRINCE ANDREW PLACE,9.75,"4,882",,
